N°,oraciones
1,Página 1 de 9 SÍLABO DEL CURSO DE SEMINARIO DE TESIS II I.
2,DATOS GENERALES FACULTAD Ingeniería SEMESTRE X ÁREA DE FORMACIÓN Ingeniería de software TIPO DE CURSO Obligatorio CARRERA PROFESIONAL Ingeniería de Software NRO.
3,DE CRÉDITOS Cuatro PRE REQUISITO(s) Seminario de Tesis I PERIODO LECTIVO 2024-I NRO.
4,DE HORAS Teoría Cuatro CÓDIGO DEL CURSO 3.10.6.24 DOCENTE: Alvaro Fernández Del Carpio Práctica Cero CORREO: alfernandez@ulasalle.edu.pe II.
5,COMPETENCIA DEL CURSO
6,"Al término del presente curso, el estudiante estará en capacidad de lograr las siguientes competencias: ● Diseña e implementa la solución propuesta utilizando metodologías, modelos, métodos, técnicas, herramientas y estándares ● Diseña y conduce experimentos o pruebas analizando e interpretando adecuadamente los resultados ● Presenta los resultados en base al análisis de datos y formula las discusiones, conclusiones y recomendaciones de forma coherente y consistente ● Redacta el documento de tesis de forma lógica, coherente y clara siguiendo el formato establecido, respetando los lineamientos de formalidad y de contenido ● Sustenta el trabajo de investigación ante un jurado mostrando dominio y amplio conocimiento en los temas expuestos, demostrando capacidad de comunicación y seguridad en la exposición III."
7,COMPETENCIA DEL PERFIL DE EGRESO AL QUE CONTRIBUYE
8,"Competencias Generales ● Desarrollar, mantener y evaluar servicios y sistemas software que satisfagan todos los requisitos del usuario y se comporten de forma fiable y eficiente, sean asequibles de desarrollar y mantener y cumplan normativas de calidad, aplicando las teorías, principios, métodos y prácticas de la informática."
9,● Valorar las necesidades del cliente y especificar los requisitos software para satisfacer esas necesidades.
10,"● Construir, configurar, gestionar, mantener y evaluar servicios y sistemas software grandes, complejos y/o críticos demostrando conocimiento de los riesgos potenciales."
11,● Competencias transversales de pertinencia especial en informática: ○ Compromiso con la ética de la profesión.
12,○ Capacidad de comunicación en inglés.
13,Página 2 de 9 Competencias Específicas 1.
14,"Aplicar el conocimiento de ciencias de la computación, de tecnologías de la información, y de las organizaciones, para desarrollar soluciones informáticas"
15,2.
16,"Concebir, diseñar, desarrollar y operar soluciones informáticas basándose en principios de ingeniería y estándares de calidad 3."
17,Aplicar el enfoque sistémico en el análisis y resolución de problemas 4.
18,"Aplicar fundamentos matemáticos, principios algorítmicos y teorías de Ciencias de la Computación en la modelación y diseño de soluciones informáticas 5."
19,"Desempeñar diferentes roles en proyectos informáticos, en contextos multidisciplinarios y multiculturales, tanto locales como globalizados"
20,6.
21,"Aplicar su conocimiento en forma independiente e innovadora en la búsqueda de soluciones informáticas, con responsabilidad y compromiso social 7."
22,Identificar oportunidades para mejorar el desempeño de las organizaciones a través del uso eficiente y eficaz de soluciones informáticas 8.
23,"Liderar procesos de incorporación, adaptación, transferencia y producción de soluciones informáticas para apoyar los objetivos estratégicos de las organizaciones 9."
24,Aplicar estándares de calidad en el desarrollo y evaluación de soluciones informáticas 10.
25,"Comprender y aplicar los conceptos éticos, legales, económicos y financieros para la toma de decisiones y para la gestión de proyectos informáticos 11."
26,Liderar emprendimientos en la creación de productos y servicios vinculados con la informática 12.
27,"Aplicar metodologías de investigación en la búsqueda, fundamentación y elaboración de soluciones informáticas 13."
28,Asimilar los cambios tecnológicos y sociales emergentes IV.
29,COMPETENCIAS PREVIAS NECESARIAS ● Formula el proyecto de tesis con el marco teórico y levantamiento bibliográfico completo.
30,● Formula el estado del arte del área de investigación.
31,V. SUMILLA
32,El curso contempla los siguientes temas: Elaboración de la propuesta.
33,Estrategias para el diseño de la propuesta.
34,"Especificación del diseño aplicando modelos, métodos, etc."
35,Estrategias para la implementación de la propuesta.
